,No.,Pos.,Player,DoB,Caps,Club,Age,Country,Club_Country,WC_Year
6841,15,MF,Nicolas Alnoudji,1979-12-09,15,Rizespor,22.0,Cameroon,Turkey,2002
6842,16,GK,Jacques Songo'o,1964-03-17,66,Metz,38.0,Cameroon,France,2002
6843,17,MF,Marc-Vivien Foé,1975-05-01,47,Lyon,27.0,Cameroon,France,2002
6844,18,FW,Patrick Suffo,1978-01-17,18,Sheffield United,24.0,Cameroon,England,2002
6845,19,MF,Eric Djemba-Djemba,1981-05-04,0,Nantes,21.0,Cameroon,France,2002
6846,20,MF,Salomon Olembé,1980-12-08,39,Marseille,21.0,Cameroon,France,2002
6847,21,FW,Joseph-Désiré Job,1977-12-01,34,Metz,24.0,Cameroon,France,2002
6848,22,GK,Idriss Carlos Kameni,1984-02-18,1,Le Havre,18.0,Cameroon,France,2002
6849,23,MF,Daniel N'Gom Kome,1980-05-19,4,Numancia,22.0,Cameroon,Spain,2002
6850,1,GK,Oliver Kahn (c),1969-06-15,45,Bayern Munich,32.0,Germany,Germany,2002
6851,2,DF,Thomas Linke,1969-12-26,34,Bayern Munich,32.0,Germany,Germany,2002
6852,3,DF,Marko Rehmer,1972-04-29,27,Hertha BSC,30.0,Germany,Germany,2002
6853,4,DF,Frank Baumann,1975-10-29,11,Werder Bremen,26.0,Germany,Germany,2002
6854,5,MF,Carsten Ramelow,1974-03-20,25,Bayer Leverkusen,28.0,Germany,Germany,2002
6855,6,DF,Christian Ziege,1972-02-01,66,Tottenham Hotspur,30.0,Germany,England,2002
6856,7,FW,Oliver Neuville,1973-05-01,30,Bayer Leverkusen,29.0,Germany,Germany,2002
6857,8,MF,Dietmar Hamann,1973-08-27,40,Liverpool,28.0,Germany,England,2002
6858,9,FW,Carsten Jancker,1974-08-28,26,Bayern Munich,27.0,Germany,Germany,2002
6859,10,MF,Lars Ricken,1976-07-10,16,Borussia Dortmund,25.0,Germany,Germany,2002
6860,11,FW,Miroslav Klose,1978-06-09,12,1. FC Kaiserslautern,23.0,Germany,Germany,2002
6861,12,GK,Jens Lehmann,1969-11-10,14,Borussia Dortmund,32.0,Germany,Germany,2002
6862,13,MF,Michael Ballack,1976-09-26,22,Bayer Leverkusen,25.0,Germany,Germany,2002
6863,14,FW,Gerald Asamoah,1978-10-03,11,Schalke 04,23.0,Germany,Germany,2002
6864,15,DF,Sebastian Kehl,1980-02-13,8,Borussia Dortmund,22.0,Germany,Germany,2002
6865,16,MF,Jens Jeremies,1974-03-05,33,Bayern Munich,28.0,Germany,Germany,2002
6866,17,MF,Marco Bode,1969-07-23,34,Werder Bremen,32.0,Germany,Germany,2002
6867,18,MF,Jörg Böhme,1974-01-22,6,Schalke 04,28.0,Germany,Germany,2002
6868,19,MF,Bernd Schneider,1973-11-17,9,Bayer Leverkusen,28.0,Germany,Germany,2002
6869,20,FW,Oliver Bierhoff,1968-05-01,65,AS Monaco,34.0,Germany,France,2002
6870,21,DF,Christoph Metzelder,1980-11-05,6,Borussia Dortmund,21.0,Germany,Germany,2002
6871,22,MF,Torsten Frings,1976-11-22,8,Werder Bremen,25.0,Germany,Germany,2002
6872,23,GK,Hans-Jörg Butt,1974-05-28,2,Bayer Leverkusen,28.0,Germany,Germany,2002
6873,1,GK,Shay Given,1976-04-20,39,Newcastle United,26.0,Republic of Ireland,England,2002
6874,2,DF,Steve Finnan,1976-04-24,13,Fulham,26.0,Republic of Ireland,England,2002
6875,3,DF,Ian Harte,1977-08-31,40,Leeds United,24.0,Republic of Ireland,England,2002
6876,4,DF,Kenny Cunningham,1971-06-28,38,Wimbledon,30.0,Republic of Ireland,England,2002
6877,5,DF,Steve Staunton (c),1969-01-19,98,Aston Villa,33.0,Republic of Ireland,England,2002
6878,6,MF,Roy Keane,1971-08-10,58,Manchester United,30.0,Republic of Ireland,England,2002
6879,7,MF,Jason McAteer,1971-06-18,47,Sunderland,30.0,Republic of Ireland,England,2002
6880,8,MF,Matt Holland,1974-04-11,19,Ipswich Town,28.0,Republic of Ireland,England,2002
6881,9,MF,Damien Duff,1979-03-02,26,Blackburn Rovers,23.0,Republic of Ireland,England,2002
6882,10,FW,Robbie Keane,1980-07-08,33,Leeds United,21.0,Republic of Ireland,England,2002
6883,11,MF,Kevin Kilbane,1977-02-01,31,Sunderland,25.0,Republic of Ireland,England,2002
6884,12,MF,Mark Kinsella,1972-08-12,28,Charlton Athletic,29.0,Republic of Ireland,England,2002
6885,13,FW,David Connolly,1977-06-06,33,Wimbledon,24.0,Republic of Ireland,England,2002
6886,14,DF,Gary Breen,1973-12-12,43,Coventry City,28.0,Republic of Ireland,England,2002
6887,15,DF,Richard Dunne,1979-09-21,14,Manchester City,22.0,Republic of Ireland,England,2002
6888,16,GK,Dean Kiely,1970-10-10,6,Charlton Athletic,31.0,Republic of Ireland,England,2002
6889,17,FW,Niall Quinn,1966-10-06,88,Sunderland,35.0,Republic of Ireland,England,2002
6890,18,DF,Gary Kelly,1974-07-09,46,Leeds United,27.0,Republic of Ireland,England,2002
6891,19,FW,Clinton Morrison,1979-05-14,7,Crystal Palace,23.0,Republic of Ireland,England,2002
6892,20,DF,Andrew O'Brien,1979-06-29,5,Newcastle United,22.0,Republic of Ireland,England,2002
6893,21,MF,Steven Reid,1981-03-10,5,Millwall,21.0,Republic of Ireland,England,2002
6894,22,MF,Lee Carsley,1974-02-28,19,Everton,28.0,Republic of Ireland,England,2002
6895,23,GK,Alan Kelly,1968-08-11,34,Blackburn Rovers,33.0,Republic of Ireland,England,2002
6896,1,GK,Mohamed Al-Deayea,1972-08-02,168,Al-Hilal,29.0,Saudi Arabia,Saudi Arabia,2002
6897,2,DF,Mohammed Al-Jahani,1974-09-28,73,Al-Ahli,27.0,Saudi Arabia,Saudi Arabia,2002
6898,3,DF,Redha Tukar,1975-11-29,5,Al-Shabab,26.0,Saudi Arabia,Saudi Arabia,2002
6899,4,DF,Abdullah Zubromawi,1973-11-15,115,Al-Ahli,28.0,Saudi Arabia,Saudi Arabia,2002
6900,5,DF,Mohsin Al-Harthi,1976-07-17,20,Al-Nassr,25.0,Saudi Arabia,Saudi Arabia,2002
6901,6,DF,Fouzi Al-Shehri,1980-05-15,2,Al-Ahli,22.0,Saudi Arabia,Saudi Arabia,2002
6902,7,MF,Ibrahim Al-Shahrani,1974-07-21,59,Al-Ahli,27.0,Saudi Arabia,Saudi Arabia,2002
6903,8,MF,Mohammed Noor,1978-02-26,29,Al-Ittihad,24.0,Saudi Arabia,Saudi Arabia,2002
6904,9,FW,Sami Al-Jaber (c),1972-12-11,148,Al-Hilal,29.0,Saudi Arabia,Saudi Arabia,2002
6905,10,MF,Mohammad Al-Shalhoub,1980-12-08,17,Al-Hilal,21.0,Saudi Arabia,Saudi Arabia,2002
6906,11,FW,Obeid Al-Dosari,1975-10-02,97,Al-Ahli,26.0,Saudi Arabia,Saudi Arabia,2002
6907,12,DF,Ahmed Dokhi,1976-10-25,47,Al-Hilal,25.0,Saudi Arabia,Saudi Arabia,2002
6908,13,DF,Hussein Sulaimani,1977-01-21,80,Al-Ahli,25.0,Saudi Arabia,Saudi Arabia,2002
6909,14,MF,Abdulaziz Khathran,1973-07-31,0,Al-Shabab,28.0,Saudi Arabia,Saudi Arabia,2002
6910,15,FW,Abdullah Jumaan Al-Dosari,1977-11-10,20,Al-Hilal,24.0,Saudi Arabia,Saudi Arabia,2002
6911,16,MF,Khamis Al-Owairan,1973-09-08,76,Al-Ittihad,28.0,Saudi Arabia,Saudi Arabia,2002
6912,17,MF,Abdullah Al-Waked,1975-09-29,45,Al-Shabab,26.0,Saudi Arabia,Saudi Arabia,2002
6913,18,MF,Nawaf Al-Temyat,1976-06-28,48,Al-Hilal,25.0,Saudi Arabia,Saudi Arabia,2002
6914,19,MF,Omar Al-Ghamdi,1979-04-11,28,Al-Hilal,23.0,Saudi Arabia,Saudi Arabia,2002
6915,20,FW,Al Hasan Al-Yami,1972-08-21,18,Al-Ittihad,29.0,Saudi Arabia,Saudi Arabia,2002
6916,21,GK,Mabrouk Zaid,1979-02-11,1,Al-Ittihad,23.0,Saudi Arabia,Saudi Arabia,2002
6917,22,GK,Mohammed Al-Khojali,1973-01-15,12,Al-Nassr,29.0,Saudi Arabia,Saudi Arabia,2002
6918,23,DF,Mansour Al-Thagafi,1979-01-14,0,Al-Nassr,23.0,Saudi Arabia,Saudi Arabia,2002
6919,1,GK,Germán Burgos,1969-04-16,35,Atlético Madrid,33.0,Argentina,Spain,2002
6920,2,DF,Roberto Ayala,1973-04-14,74,Valencia,29.0,Argentina,Spain,2002
6921,3,DF,Juan Pablo Sorín,1976-05-05,35,Cruzeiro,26.0,Argentina,Brazil,2002
6922,4,DF,Mauricio Pochettino,1972-03-02,16,Paris Saint-Germain,30.0,Argentina,France,2002
6923,5,MF,Matías Almeyda,1973-12-21,33,Parma,28.0,Argentina,Italy,2002
6924,6,DF,Walter Samuel,1978-03-23,30,Roma,24.0,Argentina,Italy,2002
6925,7,FW,Claudio López,1974-07-17,49,Lazio,27.0,Argentina,Italy,2002
6926,8,DF,Javier Zanetti,1973-08-10,66,Internazionale,28.0,Argentina,Italy,2002
6927,9,FW,Gabriel Batistuta,1969-02-01,75,Roma,33.0,Argentina,Italy,2002
6928,10,MF,Ariel Ortega,1974-03-04,81,River Plate,28.0,Argentina,Argentina,2002
6929,11,MF,Juan Sebastián Verón (c),1975-03-09,47,Manchester United,27.0,Argentina,England,2002
6930,12,GK,Pablo Cavallero,1974-04-13,8,Celta Vigo,28.0,Argentina,Spain,2002
6931,13,DF,Diego Placente,1977-04-24,6,Bayer Leverkusen,25.0,Argentina,Germany,2002
6932,14,MF,Diego Simeone,1970-04-28,104,Lazio,32.0,Argentina,Italy,2002
6933,15,MF,Claudio Husaín,1974-11-20,14,River Plate,27.0,Argentina,Argentina,2002
6934,16,MF,Pablo Aimar,1979-11-03,18,Valencia,22.0,Argentina,Spain,2002
6935,17,MF,Gustavo López,1973-04-13,31,Celta Vigo,29.0,Argentina,Spain,2002
6936,18,MF,Kily González,1974-08-04,30,Valencia,27.0,Argentina,Spain,2002
6937,19,FW,Hernán Crespo,1975-07-05,33,Lazio,26.0,Argentina,Italy,2002
6938,20,MF,Marcelo Gallardo,1976-01-18,42,AS Monaco,26.0,Argentina,France,2002
6939,21,FW,Claudio Caniggia,1967-01-09,50,Rangers,35.0,Argentina,Scotland,2002
6940,22,DF,José Chamot,1969-05-17,42,Milan,33.0,Argentina,Italy,2002
6941,23,GK,Roberto Bonano,1970-01-24,13,Barcelona,32.0,Argentina,Spain,2002
6942,1,GK,David Seaman,1963-09-19,68,Arsenal,38.0,England,England,2002
6943,2,DF,Danny Mills,1977-05-18,7,Leeds United,25.0,England,England,2002
6944,3,DF,Ashley Cole,1980-12-20,8,Arsenal,21.0,England,England,2002
6945,4,MF,Trevor Sinclair,1973-03-02,5,West Ham United,29.0,England,England,2002
6946,5,DF,Rio Ferdinand,1978-11-07,21,Leeds United,23.0,England,England,2002
6947,6,DF,Sol Campbell,1974-09-18,45,Arsenal,27.0,England,England,2002
6948,7,MF,David Beckham (c),1975-05-02,49,Manchester United,27.0,England,England,2002
6949,8,MF,Paul Scholes,1974-11-16,43,Manchester United,27.0,England,England,2002
6950,9,FW,Robbie Fowler,1975-04-09,24,Leeds United,27.0,England,England,2002
6951,10,FW,Michael Owen,1979-12-14,35,Liverpool,22.0,England,England,2002
6952,11,FW,Emile Heskey,1978-01-11,23,Liverpool,24.0,England,England,2002
6953,12,DF,Wes Brown,1979-10-13,6,Manchester United,22.0,England,England,2002
6954,13,GK,Nigel Martyn,1966-08-11,22,Leeds United,35.0,England,England,2002
6955,14,DF,Wayne Bridge,1980-08-05,5,Southampton,21.0,England,England,2002
6956,15,DF,Martin Keown,1966-07-24,42,Arsenal,35.0,England,England,2002
6957,16,DF,Gareth Southgate,1970-09-03,48,Middlesbrough,31.0,England,England,2002
6958,17,FW,Teddy Sheringham,1966-04-02,46,Tottenham Hotspur,36.0,England,England,2002
6959,18,MF,Owen Hargreaves,1981-01-20,6,Bayern Munich,21.0,England,Germany,2002
6960,19,MF,Joe Cole,1981-11-08,6,West Ham United,20.0,England,England,2002
6961,20,FW,Darius Vassell,1980-06-13,5,Aston Villa,21.0,England,England,2002
6962,21,MF,Nicky Butt,1975-01-21,18,Manchester United,27.0,England,England,2002
6963,22,GK,David James,1970-08-01,9,West Ham United,31.0,England,England,2002
6964,23,MF,Kieron Dyer,1978-12-29,9,Newcastle United,23.0,England,England,2002
6965,1,GK,Ike Shorunmu,1967-10-16,34,Lucerne,34.0,Nigeria,Switzerland,2002
6966,2,DF,Joseph Yobo,1980-09-06,14,Marseille,21.0,Nigeria,France,2002
6967,3,DF,Celestine Babayaro,1978-08-29,24,Chelsea,23.0,Nigeria,England,2002
6968,4,FW,Nwankwo Kanu,1976-08-01,33,Arsenal,25.0,Nigeria,England,2002
6969,5,DF,Isaac Okoronkwo,1978-05-01,12,Shakhtar Donetsk,24.0,Nigeria,Ukraine,2002
6970,6,DF,Taribo West,1974-03-26,38,1. FC Kaiserslautern,28.0,Nigeria,Germany,2002
6971,7,MF,Pius Ikedia,1980-07-11,9,Ajax,21.0,Nigeria,Netherlands,2002
6972,8,MF,Mutiu Adepoju,1970-12-22,49,Salamanca,31.0,Nigeria,Spain,2002
6973,9,FW,Bartholomew Ogbeche,1984-10-01,4,Paris Saint-Germain,17.0,Nigeria,France,2002
6974,10,MF,Jay-Jay Okocha (c),1973-08-14,56,Paris Saint-Germain,28.0,Nigeria,France,2002
6975,11,MF,Garba Lawal,1974-05-22,34,Roda JC,28.0,Nigeria,Netherlands,2002
6976,12,GK,Austin Ejide,1984-04-08,3,Gabros International,18.0,Nigeria,Nigeria,2002
6977,13,DF,Rabiu Afolabi,1980-04-18,5,Standard Liège,22.0,Nigeria,Belgium,2002
6978,14,DF,Ifeanyi Udeze,1980-07-21,15,PAOK,21.0,Nigeria,Greece,2002
6979,15,MF,Justice Christopher,1981-12-24,7,Royal Antwerp,20.0,Nigeria,Belgium,2002
6980,16,DF,Efe Sodje,1972-10-05,7,Crewe Alexandra,29.0,Nigeria,England,2002
6981,17,FW,Julius Aghahowa,1982-02-12,17,Shakhtar Donetsk,20.0,Nigeria,Ukraine,2002
6982,18,FW,Benedict Akwuegbu,1974-11-03,16,Shenyang Haishi,27.0,Nigeria,China,2002
6983,19,DF,Eric Ejiofor,1979-07-21,12,Maccabi Haifa,22.0,Nigeria,Israel,2002
6984,20,MF,James Obiorah,1978-08-24,2,Lokomotiv Moscow,23.0,Nigeria,Russia,2002
6985,21,MF,John Utaka,1982-01-08,4,Al-Sadd,20.0,Nigeria,Qatar,2002
6986,22,GK,Vincent Enyeama,1982-08-29,2,Enyimba,19.0,Nigeria,Nigeria,2002
6987,23,MF,Femi Opabunmi,1985-03-03,2,Ibadan,17.0,Nigeria,Nigeria,2002
6988,1,GK,Magnus Hedman,1973-03-19,44,Coventry City,29.0,Sweden,England,2002
6989,2,DF,Olof Mellberg,1977-09-03,21,Aston Villa,24.0,Sweden,England,2002
6990,3,DF,Patrik Andersson (c),1971-08-18,95,Barcelona,30.0,Sweden,Spain,2002
6991,4,DF,Johan Mjällby,1971-02-09,35,Celtic,31.0,Sweden,Scotland,2002
6992,5,DF,Michael Svensson,1975-11-25,11,Troyes,26.0,Sweden,France,2002
6993,6,MF,Tobias Linderoth,1979-04-21,19,Everton,23.0,Sweden,England,2002
6994,7,MF,Niclas Alexandersson,1971-12-29,58,Everton,30.0,Sweden,England,2002
6995,8,MF,Anders Svensson,1976-07-17,24,Southampton,25.0,Sweden,England,2002
6996,9,MF,Fredrik Ljungberg,1977-04-16,31,Arsenal,25.0,Sweden,England,2002
6997,10,FW,Marcus Allbäck,1973-07-05,18,Heerenveen,28.0,Sweden,Netherlands,2002
6998,11,FW,Henrik Larsson,1971-09-20,67,Celtic,30.0,Sweden,Scotland,2002
6999,12,GK,Magnus Kihlstedt,1972-02-29,12,Copenhagen,30.0,Sweden,Denmark,2002
7000,13,DF,Tomas Antonelius,1973-05-07,6,Copenhagen,29.0,Sweden,Denmark,2002
7001,14,DF,Erik Edman,1978-11-11,5,Heerenveen,23.0,Sweden,Netherlands,2002
7002,15,DF,Andreas Jakobsson,1972-10-06,12,Hansa Rostock,29.0,Sweden,Germany,2002
7003,16,DF,Teddy Lucic,1973-04-15,41,AIK,29.0,Sweden,Sweden,2002
7004,17,MF,Magnus Svensson,1969-03-10,24,Brøndby,33.0,Sweden,Denmark,2002
7005,18,MF,Mattias Jonson,1974-01-16,23,Brøndby,28.0,Sweden,Denmark,2002
7006,19,MF,Pontus Farnerud,1980-06-04,2,AS Monaco,21.0,Sweden,France,2002
7007,20,MF,Daniel Andersson,1977-08-28,38,Venezia,24.0,Sweden,Italy,2002
7008,21,FW,Zlatan Ibrahimović,1981-10-03,9,Ajax,20.0,Sweden,Netherlands,2002
7009,22,FW,Andreas Andersson,1974-04-10,32,AIK,28.0,Sweden,Sweden,2002
7010,23,GK,Andreas Isaksson,1981-10-03,1,Djurgården,20.0,Sweden,Sweden,2002
7011,1,GK,Stipe Pletikosa,1979-01-08,17,Hajduk Split,23.0,Croatia,Croatia,2002
7012,2,DF,Anthony Šerić,1979-01-15,8,Hellas Verona,23.0,Croatia,Italy,2002
7013,3,DF,Josip Šimunić,1978-02-18,6,Hertha BSC,24.0,Croatia,Germany,2002
7014,4,DF,Stjepan Tomas,1976-03-06,17,Vicenza,26.0,Croatia,Italy,2002
7015,5,MF,Milan Rapaić,1973-08-16,23,Fenerbahçe,28.0,Croatia,Turkey,2002
7016,6,DF,Boris Živković,1975-11-15,15,Bayer Leverkusen,26.0,Croatia,Germany,2002
7017,7,FW,Davor Vugrinec,1975-03-24,21,Lecce,27.0,Croatia,Italy,2002
7018,8,MF,Robert Prosinečki,1969-01-12,48,Portsmouth,33.0,Croatia,England,2002
7019,9,FW,Davor Šuker (c),1968-01-01,68,1860 Munich,34.0,Croatia,Germany,2002
7020,10,MF,Niko Kovač,1971-10-15,20,Bayern Munich,30.0,Croatia,Germany,2002
7021,11,FW,Alen Bokšić,1970-01-21,36,Middlesbrough,32.0,Croatia,England,2002
7022,12,GK,Tomislav Butina,1974-03-30,7,Dinamo Zagreb,28.0,Croatia,Croatia,2002
7023,13,MF,Mario Stanić,1972-04-10,43,Chelsea,30.0,Croatia,England,2002
7024,14,MF,Zvonimir Soldo,1967-11-02,59,VfB Stuttgart,34.0,Croatia,Germany,2002
7025,15,DF,Daniel Šarić,1972-08-04,25,Panathinaikos,29.0,Croatia,Greece,2002
7026,16,MF,Jurica Vranješ,1980-01-31,7,Bayer Leverkusen,22.0,Croatia,Germany,2002
7027,17,DF,Robert Jarni,1968-10-26,78,Panathinaikos,33.0,Croatia,Greece,2002
7028,18,FW,Ivica Olić,1979-09-14,4,Zagreb,22.0,Croatia,Croatia,2002
7029,19,FW,Goran Vlaović,1972-08-07,50,Panathinaikos,29.0,Croatia,Greece,2002
7030,20,DF,Dario Šimić,1975-11-12,48,Internazionale,26.0,Croatia,Italy,2002
7031,21,DF,Robert Kovač,1974-04-06,19,Bayern Munich,28.0,Croatia,Germany,2002
7032,22,FW,Boško Balaban,1978-10-15,13,Aston Villa,23.0,Croatia,England,2002
7033,23,GK,Vladimir Vasilj,1975-07-06,2,Zagreb,26.0,Croatia,Croatia,2002
7034,1,GK,José Francisco Cevallos,1971-04-17,62,Barcelona,31.0,Ecuador,Ecuador,2002
7035,2,DF,Augusto Porozo,1974-04-13,26,Emelec,28.0,Ecuador,Ecuador,2002
7036,3,DF,Iván Hurtado,1974-08-16,90,Barcelona,27.0,Ecuador,Ecuador,2002
7037,4,DF,Ulises de la Cruz,1974-02-08,52,Hibernian,28.0,Ecuador,Scotland,2002
7038,5,MF,Alfonso Obregón,1972-05-12,40,LDU Quito,30.0,Ecuador,Ecuador,2002
7039,6,DF,Raúl Guerrón,1976-10-12,23,Deportivo Quito,25.0,Ecuador,Ecuador,2002
7040,7,FW,Nicolás Asencio,1975-04-26,4,Barcelona,27.0,Ecuador,Ecuador,2002
7041,8,MF,Luis Gómez,1972-04-20,8,Barcelona,30.0,Ecuador,Ecuador,2002
7042,9,FW,Iván Kaviedes,1977-10-24,26,Barcelona,24.0,Ecuador,Ecuador,2002
7043,10,MF,Álex Aguinaga (c),1968-07-09,92,Necaxa,33.0,Ecuador,Mexico,2002
7044,11,FW,Agustín Delgado,1974-12-23,46,Southampton,27.0,Ecuador,England,2002
7045,12,GK,Oswaldo Ibarra,1969-09-08,21,El Nacional,32.0,Ecuador,Ecuador,2002
7046,13,FW,Ángel Fernández,1971-08-02,68,El Nacional,30.0,Ecuador,Ecuador,2002
7047,14,MF,Juan Carlos Burbano,1969-02-15,18,El Nacional,33.0,Ecuador,Ecuador,2002
7048,15,DF,Marlon Ayoví,1971-09-27,26,Deportivo Quito,30.0,Ecuador,Ecuador,2002
7049,16,MF,Cléber Chalá,1971-06-29,64,El Nacional,30.0,Ecuador,Ecuador,2002
7050,17,DF,Giovanny Espinoza,1977-04-12,19,Aucas,25.0,Ecuador,Ecuador,2002
7051,18,FW,Carlos Tenorio,1979-05-14,9,LDU Quito,23.0,Ecuador,Ecuador,2002
7052,19,FW,Edison Méndez,1979-03-16,24,Deportivo Quito,23.0,Ecuador,Ecuador,2002
7053,20,MF,Edwin Tenorio,1976-06-16,33,Barcelona,25.0,Ecuador,Ecuador,2002
7054,21,MF,Wellington Sánchez,1974-06-19,35,Emelec,27.0,Ecuador,Ecuador,2002
7055,22,GK,Daniel Viteri,1981-12-12,0,Emelec,20.0,Ecuador,Ecuador,2002
7056,23,DF,Walter Ayoví,1979-08-11,2,Emelec,22.0,Ecuador,Ecuador,2002
7057,1,GK,Gianluigi Buffon,1978-01-28,26,Juventus,24.0,Italy,Italy,2002
7058,2,DF,Christian Panucci,1973-04-12,24,Roma,29.0,Italy,Italy,2002
7059,3,DF,Paolo Maldini (c),1968-06-26,122,Milan,33.0,Italy,Italy,2002
7060,4,DF,Francesco Coco,1977-01-08,13,Barcelona,25.0,Italy,Spain,2002
7061,5,DF,Fabio Cannavaro,1973-09-13,58,Parma,28.0,Italy,Italy,2002
7062,6,MF,Cristiano Zanetti,1977-04-14,4,Internazionale,25.0,Italy,Italy,2002
7063,7,FW,Alessandro Del Piero,1974-11-09,49,Juventus,27.0,Italy,Italy,2002
7064,8,MF,Gennaro Gattuso,1978-01-09,13,Milan,24.0,Italy,Italy,2002
7065,9,FW,Filippo Inzaghi,1973-08-09,38,Milan,28.0,Italy,Italy,2002
7066,10,FW,Francesco Totti,1976-09-27,29,Roma,25.0,Italy,Italy,2002
7067,11,MF,Cristiano Doni,1973-04-01,3,Atalanta,29.0,Italy,Italy,2002
7068,12,GK,Christian Abbiati,1977-07-08,0,Milan,24.0,Italy,Italy,2002
7069,13,DF,Alessandro Nesta,1976-03-19,43,Lazio,26.0,Italy,Italy,2002
7070,14,MF,Luigi Di Biagio,1971-06-03,28,Internazionale,30.0,Italy,Italy,2002
7071,15,DF,Mark Iuliano,1973-08-12,16,Juventus,28.0,Italy,Italy,2002
7072,16,MF,Angelo Di Livio,1966-07-26,38,Fiorentina,35.0,Italy,Italy,2002
7073,17,MF,Damiano Tommasi,1974-05-17,14,Roma,28.0,Italy,Italy,2002
7074,18,FW,Marco Delvecchio,1973-04-07,16,Roma,29.0,Italy,Italy,2002
7075,19,DF,Gianluca Zambrotta,1977-02-19,23,Juventus,25.0,Italy,Italy,2002
7076,20,FW,Vincenzo Montella,1974-06-18,14,Roma,27.0,Italy,Italy,2002
7077,21,FW,Christian Vieri,1973-07-12,24,Internazionale,28.0,Italy,Italy,2002
7078,22,GK,Francesco Toldo,1971-12-02,22,Internazionale,30.0,Italy,Italy,2002
7079,23,DF,Marco Materazzi,1973-08-19,7,Internazionale,28.0,Italy,Italy,2002
7080,1,GK,Óscar Pérez,1973-02-01,37,Cruz Azul,29.0,Mexico,Mexico,2002
7081,2,DF,Francisco Gabriel de Anda,1971-06-05,15,Pachuca,30.0,Mexico,Mexico,2002
7082,3,MF,Rafael García,1974-08-14,21,Toluca,27.0,Mexico,Mexico,2002
7083,4,MF,Rafael Márquez (c),1979-02-13,36,AS Monaco,23.0,Mexico,France,2002
7084,5,DF,Manuel Vidrio,1972-08-23,27,Pachuca,29.0,Mexico,Mexico,2002
7085,6,MF,Gerardo Torrado,1979-04-30,28,Sevilla,23.0,Mexico,Spain,2002
7086,7,MF,Ramón Morales,1975-10-10,17,Guadalajara,26.0,Mexico,Mexico,2002
7087,8,MF,Alberto García Aspe,1967-05-11,108,Puebla,35.0,Mexico,Mexico,2002
7088,9,FW,Jared Borgetti,1973-08-14,29,Santos,28.0,Mexico,Mexico,2002
7089,10,FW,Cuauhtémoc Blanco,1973-01-17,75,Real Valladolid,29.0,Mexico,Spain,2002
7090,11,MF,Braulio Luna,1974-09-08,15,Necaxa,27.0,Mexico,Mexico,2002
7091,12,GK,Oswaldo Sánchez,1973-09-21,22,Guadalajara,28.0,Mexico,Mexico,2002
7092,13,MF,Sigifredo Mercado,1968-12-21,18,Atlas,33.0,Mexico,Mexico,2002
7093,14,MF,Germán Villa,1973-04-02,46,América,29.0,Mexico,Mexico,2002
7094,15,FW,Luis Hernández,1968-12-22,85,América,33.0,Mexico,Mexico,2002
7095,16,DF,Salvador Carmona,1975-08-22,56,Toluca,26.0,Mexico,Mexico,2002
7096,17,FW,Francisco Palencia,1973-04-28,67,Espanyol,29.0,Mexico,Spain,2002
7097,18,MF,Johan Rodríguez,1975-08-15,14,Santos,26.0,Mexico,Mexico,2002
7098,19,MF,Gabriel Caballero,1971-02-05,5,Pachuca,31.0,Mexico,Mexico,2002
7099,20,DF,Melvin Brown,1979-01-28,8,Cruz Azul,23.0,Mexico,Mexico,2002
7100,21,FW,Jesús Arellano,1973-05-08,49,Monterrey,29.0,Mexico,Mexico,2002
7101,22,DF,Alberto Rodríguez,1974-04-01,13,Pachuca,28.0,Mexico,Mexico,2002
7102,23,GK,Jorge Campos,1966-10-15,123,U.N.A.M.,35.0,Mexico,Mexico,2002
7103,1,GK,Geert De Vlieger,1971-10-16,25,Willem II,30.0,Belgium,Netherlands,2002
7104,2,DF,Eric Deflandre,1973-08-02,41,Lyon,28.0,Belgium,France,2002
7105,3,DF,Glen De Boeck,1971-08-22,33,Anderlecht,30.0,Belgium,Belgium,2002
7106,4,DF,Eric Van Meir,1968-02-28,32,Standard Liège,34.0,Belgium,Belgium,2002
7107,5,DF,Nico Van Kerckhoven,1970-12-14,40,Schalke 04,31.0,Belgium,Germany,2002
7108,6,MF,Timmy Simons,1976-12-11,12,Club Brugge,25.0,Belgium,Belgium,2002
7109,7,FW,Marc Wilmots (c),1969-02-22,66,Schalke 04,33.0,Belgium,Germany,2002
7110,8,MF,Bart Goor,1973-04-09,38,Hertha BSC,29.0,Belgium,Germany,2002
7111,9,FW,Wesley Sonck,1978-08-09,12,Racing Genk,23.0,Belgium,Belgium,2002
7112,10,MF,Johan Walem,1972-02-01,33,Standard Liège,30.0,Belgium,Belgium,2002
7113,11,MF,Gert Verheyen,1970-09-20,46,Club Brugge,31.0,Belgium,Belgium,2002
7114,12,DF,Peter Van Der Heyden,1976-07-16,4,Club Brugge,25.0,Belgium,Belgium,2002
7115,13,GK,Franky Vandendriessche,1971-04-07,0,Mouscron,31.0,Belgium,Belgium,2002
7116,14,MF,Sven Vermant,1973-04-04,12,Schalke 04,29.0,Belgium,Germany,2002
7117,15,DF,Jacky Peeters,1969-12-13,13,Gent,32.0,Belgium,Belgium,2002
7118,16,DF,Daniel Van Buyten,1978-02-07,7,Marseille,24.0,Belgium,France,2002
